Name,Id,Genres,Popularity
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Black Alien,6aCbXH85qN6xo54C7atSMx,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian reggae']",65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Rael,0GWNKI3VPEcJsOIEhUjmxd,"['brazilian hip hop', 'brazilian reggae', 'nova mpb']",65
Black Alien,6aCbXH85qN6xo54C7atSMx,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian reggae']",65
Scott Bradlee's Postmodern Jukebox,,['swing'],65
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,['swing'],65
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']",64
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']",64
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']",64
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']",64
Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,"['brazilian hip hop', 'funk carioca', 'pop rap brasileiro', 'rap baiano', 'trap brasileiro']",63
Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,"['brazilian hip hop', 'funk carioca', 'pop rap brasileiro', 'rap baiano', 'trap brasileiro']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Haikaiss,53iGNetIf91uZx4Jb54cgb,['brazilian hip hop'],63
Haikaiss,53iGNetIf91uZx4Jb54cgb,['brazilian hip hop'],63
Haikaiss,53iGNetIf91uZx4Jb54cgb,['brazilian hip hop'],63
Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,"['brazilian hip hop', 'funk carioca', 'pop rap brasileiro', 'rap baiano', 'trap brasileiro']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Sant,7IlBcKrGUBJ0NKdnbDde89,['brazilian hip hop'],63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Criolo,37ZflmHTdxkSLQuT8w9NBs,"['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat']",63
Luiz Lins,0hWRVPGWjaXcEvg8l65Tx0,"['brazilian hip hop', 'musica triste brasileira', 'nova musica pernambucana', 'rap pernambucano']",61
Rashid,5WgRuO0mhM36NFoapzpWBH,"['brazilian hip hop', 'brazilian rock', 'pop rap brasileiro', 'r&b brasileiro']",61
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",60
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",60
Sabotage,5deK5HnwbEKvge2svL0i0B,"['boom bap brasileiro', 'brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",60
UM44K,3zhKxZr516VdNDa8v3oft2,"['funk carioca', 'nova mpb', 'pop rap brasileiro', 'sertanejo pop']",60
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",60
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",60
Cacife Clandestino,2RKcy8YT2w2QYn0D7TjiIi,"['brazilian edm', 'brazilian hip hop', 'trap brasileiro']",59
Choice,4kqedTxyE5EDJWLLplYXpu,"['brazilian hip hop', 'trap brasileiro']",59
Cartola,0RSWHhBUwW7lhCqXqxKxWN,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']",57
Cartola,0RSWHhBUwW7lhCqXqxKxWN,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']",57
Cartola,0RSWHhBUwW7lhCqXqxKxWN,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']",57
Diomedes Chinaski,6DDTbUgrNrVcAJFVrOjmVK,"['brazilian hip hop', 'rap pernambucano']",56
Rincon Sapiência,6syQjkQSMIrzw5cFnNRheo,"['afrofuturismo brasileiro', 'brazilian hip hop', 'trap brasileiro']",56
Don L,6U98XWjrUPnPtPBjEprDmu,"['brazilian hip hop', 'rap cearense']",55
